,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일, , , ,박무,비박무연무, ,비박무, ,비소나기박무, , ,연무
2일,연무, , , ,비안개비안개박무,박무,비소나기박무, ,비박무, , ,비박무
3일,연무, , ,박무,비,박무,비안개박무, ,비안개박무, , ,비안개박무
4일,햇무리, ,비소나기안개박무,비박무, ,안개박무연무,비박무, ,비박무,비박무, ,비안개박무
5일,비눈박무, ,비소나기박무,비박무, ,비박무,비박무, , ,비안개박무, , 
6일, , , ,비박무황사,비안개박무,박무연무,비박무,소나기박무,비,비박무폭풍, ,비박무
7일,비, ,비박무, ,비안개박무,박무연무, ,소나기,비박무, , , 
8일,비박무, ,비박무, , ,박무연무,비, ,비, ,비소나기안개박무, 
9일, ,비박무연무, ,박무, ,박무,비박무,비박무, ,비, , 
10일,소낙눈,연무, ,박무폭풍,박무,비박무,박무,비, ,비햇무리, , 
11일, , ,연무,비,박무연무,비박무,박무,비박무, , ,비박무,비박무
12일, , ,박무연무, ,비박무, , ,비소나기, , ,비박무,박무
13일, , ,박무, ,비박무, ,박무, ,비박무, ,비, 
14일,연무, , ,비박무,연무, ,박무,햇무리,비박무, , , 
15일,비,연무,비박무,황사,박무연무, ,박무,비소나기박무,비박무,연무, , 
16일,비박무, ,비박무,황사,비안개비안개박무, , ,비박무,박무,연무,비연무,비
17일,비박무, , , ,비안개비안개박무, ,박무연무, ,박무햇무리,박무연무,연무,연무
18일,박무연무, ,비박무, ,비안개비안개박무,소나기박무,박무연무, ,박무연무,박무, , 
19일,연무,연무,비박무, , ,비박무,박무연무, ,비박무, , ,연무
20일,연무,연무햇무리,비박무,연무, ,비박무햇무리,연무, ,비박무, , ,연무
21일,연무,햇무리,비진눈깨비박무,연무, , ,연무, ,비박무, , ,박무연무
22일,비박무연무, , ,비박무,비박무,박무,햇무리, , , , ,비박무
23일,연무,연무, ,비박무,비박무,비박무, ,비, ,비, ,비박무연무
24일, ,연무,연무,비박무,황사,박무연무, ,비박무폭풍,햇무리, ,비박무, 
25일, ,비박무연무,연무, , ,박무, ,비박무, , ,박무연무, 
26일, ,박무연무,연무,박무, ,비안개박무,연무,비소나기박무,비,비박무,연무,비연무
27일, ,연무,연무,연무,박무연무,비박무,박무,비소나기안개박무, , ,박무연무, 
28일, ,비박무연무달무리,박무연무,박무,비박무,비소나기안개박무,박무, ,비, ,연무황사, 
29일, , ,연무,박무연무,박무,비안개박무,비, ,비박무,비, , 
30일, , , ,연무,비안개박무,비소나기안개박무,비,비,비박무, ,황사, 
31일, , , , ,박무, , ,비소나기박무, , , ,눈
