,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,32.0,33.5,43.8,64.1,68.6,54.0,86.5,60.4,86.4,52.9,51.3,49.9
2일,39.6,25.3,41.6,76.4,91.6,60.4,86.8,69.0,80.9,65.4,53.4,69.0
3일,24.5,28.8,59.4,78.0,46.6,71.9,95.9,69.9,92.6,63.6,51.6,94.3
4일,38.3,30.5,82.1,85.5,48.1,68.0,83.4,73.4,76.9,71.9,47.6,78.1
5일,46.6,30.0,83.5,75.4,59.9,84.8,94.1,69.5,67.6,96.6,64.6,49.1
6일,33.6,27.6,59.5,64.4,92.8,79.6,89.9,75.9,68.3,86.0,68.6,72.3
7일,48.0,31.4,69.1,37.1,90.9,78.1,76.5,71.8,86.9,72.6,69.5,39.5
8일,83.6,32.0,86.8,52.0,72.0,68.9,80.9,69.6,70.9,52.5,91.3,39.5
9일,47.0,57.3,69.3,60.9,64.9,65.9,92.8,71.5,68.9,63.6,63.6,29.3
10일,51.9,40.6,63.3,76.4,71.5,77.6,85.5,81.4,61.5,64.1,56.4,36.5
11일,42.6,35.6,41.9,55.6,57.0,86.3,78.5,77.9,65.1,44.1,66.4,83.3
12일,34.5,44.1,56.6,29.1,82.5,72.3,78.3,78.6,73.3,55.0,77.3,46.5
13일,46.3,42.5,71.0,40.6,83.4,72.4,83.4,66.6,89.3,63.6,71.6,44.9
14일,60.5,59.5,73.4,86.1,60.4,72.9,79.9,72.9,96.3,61.5,68.0,35.5
15일,62.4,55.6,92.3,51.0,67.9,65.3,79.9,79.9,89.5,57.3,65.6,36.6
16일,84.4,51.3,62.4,58.5,94.9,68.5,74.9,84.1,80.1,67.5,71.0,66.9
17일,90.5,20.9,61.6,70.8,96.9,71.0,70.6,58.9,74.6,67.8,57.1,51.8
18일,67.8,26.9,77.1,56.9,91.9,72.6,71.4,60.1,79.9,55.8,39.5,50.4
19일,39.0,39.3,90.8,51.1,66.0,86.5,67.1,65.6,84.4,58.5,40.1,55.4
20일,36.5,32.6,65.0,44.6,66.5,73.3,65.8,69.4,91.3,59.5,42.3,59.8
21일,38.3,33.6,86.3,54.6,71.9,55.5,78.1,67.5,92.1,58.8,39.9,71.0
22일,62.4,28.4,61.0,72.3,74.9,56.5,69.3,67.0,75.8,69.9,35.0,62.1
23일,36.3,48.8,53.5,88.9,77.6,68.1,69.8,79.0,70.1,64.4,33.8,52.6
24일,29.8,50.1,44.9,81.5,57.4,67.9,74.8,83.8,49.9,57.6,67.3,25.6
25일,22.3,73.9,50.5,47.3,51.3,80.5,74.1,82.6,59.8,60.4,67.6,27.8
26일,23.9,53.1,39.8,61.8,52.9,93.9,74.5,90.5,63.8,76.8,61.1,39.3
27일,24.5,59.8,41.3,53.5,75.1,91.9,79.5,92.6,61.0,50.3,53.1,17.0
28일,30.5,78.6,58.0,63.9,84.1,97.5,69.0,82.1,66.4,56.0,52.1,27.4
29일,33.0, ,61.4,66.0,82.9,96.5,65.4,80.0,90.3,53.4,41.1,26.3
30일,34.0, ,52.4,67.6,79.9,95.9,70.0,81.6,71.3,49.0,46.8,30.4
31일,39.9, ,49.4, ,68.1, ,62.3,83.9, ,48.3, ,36.5
평균,44.7,41.8,62.9,62.4,72.6,75.2,77.7,74.7,76.2,62.1,57.2,48.5
