,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,7.4,9.4,12.0,19.5,22.6,25.4,28.5,34.6,24.6,22.4,17.8,14.2
2일,9.4,7.4,9.8,21.3,17.5,28.2,29.4,33.6,26.0,22.3,19.6,18.8
3일,6.9,4.3,16.4,21.5,19.7,25.1,24.4,33.4,26.6,24.6,20.7,18.8
4일,7.7,-0.2,15.4,17.6,18.5,26.3,29.5,33.8,30.0,25.0,22.5,16.8
5일,9.7,1.5,13.4,12.1,20.2,21.9,25.8,36.4,28.1,20.3,21.3,14.9
6일,8.5,0.5,11.4,16.4,17.6,26.0,21.7,33.5,26.3,23.6,22.0,9.8
7일,9.4,3.1,9.7,10.2,16.7,25.5,22.7,32.2,24.0,25.6,20.1,5.2
8일,7.4,6.8,6.3,11.9,15.6,27.8,23.4,31.7,23.9,23.7,18.8,3.0
9일,4.7,10.9,9.4,18.8,16.7,24.7,22.3,32.8,26.5,21.1,17.9,4.9
10일,2.5,11.6,11.2,18.3,18.3,23.5,28.7,28.2,26.0,20.9,19.6,10.7
11일,0.0,3.5,15.6,22.2,21.3,21.2,30.3,31.5,25.8,17.5,20.6,8.3
12일,0.1,3.5,15.8,21.3,18.9,21.6,30.3,32.7,28.1,18.5,15.2,7.2
13일,5.6,6.7,17.3,17.4,23.3,23.1,29.9,34.9,23.2,21.5,18.4,8.1
14일,9.1,12.9,19.0,16.4,23.1,23.4,31.0,33.7,23.0,22.1,19.1,6.2
15일,14.0,11.9,15.6,19.6,25.1,23.6,30.6,34.0,25.1,22.5,18.8,10.4
16일,11.0,11.6,10.3,16.7,21.6,22.9,30.8,28.1,28.1,20.2,16.5,8.7
17일,8.3,9.5,10.8,17.8,21.6,25.9,30.8,28.8,27.7,21.6,18.1,9.4
18일,11.6,9.9,16.4,19.8,20.9,26.2,32.3,28.9,28.0,20.8,12.9,9.7
19일,11.9,11.2,12.8,19.3,18.8,26.4,32.2,30.0,26.2,21.6,17.2,13.7
20일,10.5,13.8,8.5,23.9,19.6,27.0,33.7,29.7,21.6,21.4,15.3,12.2
21일,11.5,9.8,4.4,23.3,22.4,30.3,32.6,32.9,21.9,22.2,13.5,17.2
22일,7.6,8.9,14.3,22.4,22.4,27.5,33.2,32.6,27.5,22.8,12.3,17.6
23일,6.1,12.3,15.6,13.5,24.9,26.7,33.0,30.0,26.9,22.7,11.9,13.3
24일,-2.2,14.7,18.5,14.7,23.8,31.3,32.6,30.0,22.0,21.9,12.5,8.2
25일,0.2,13.9,19.4,18.6,26.0,26.5,33.1,28.0,25.5,22.4,14.8,9.9
26일,0.3,11.9,21.4,18.1,26.6,24.1,34.0,29.1,24.2,19.0,16.8,11.0
27일,5.4,14.7,21.1,24.3,24.9,25.1,33.3,27.1,23.8,16.0,19.9,4.9
28일,5.5,12.3,19.4,20.7,21.3,22.6,32.5,30.5,24.8,18.3,17.8,1.2
29일,2.4, ,22.3,21.1,26.1,24.3,35.4,30.2,19.1,19.4,15.9,2.1
30일,3.0, ,17.2,22.7,26.0,23.0,33.2,30.2,25.2,15.4,16.4,5.6
31일,6.8, ,18.3, ,24.0, ,33.9,28.0, ,16.5, ,10.6
평균,6.5,8.9,14.5,18.7,21.5,25.2,30.2,31.3,25.3,21.1,17.5,10.1
