,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,-1.1,-0.6,2.7,13.4,16.1,17.4,19.8,27.1,19.3,15.2,7.9,7.8
2일,-0.3,-0.8,-0.7,15.3,13.0,19.4,22.9,27.1,20.9,14.0,8.2,9.5
3일,-0.2,-4.8,4.1,15.6,11.2,18.4,22.1,27.3,22.4,14.5,9.2,14.5
4일,-1.7,-8.0,10.2,8.5,10.2,16.9,22.2,27.2,21.6,16.4,11.0,10.3
5일,0.7,-8.0,3.4,8.8,13.6,18.7,21.7,28.1,19.7,18.1,10.4,4.8
6일,-0.8,-8.9,3.1,6.6,14.8,18.3,19.3,28.0,21.7,19.2,12.2,5.1
7일,0.4,-9.6,5.0,4.1,13.9,18.8,18.6,26.1,19.8,18.2,14.7,-3.2
8일,4.3,-4.5,4.2,3.0,12.7,20.6,17.8,24.9,19.2,15.5,15.2,-5.4
9일,0.1,0.0,2.2,10.8,11.3,18.7,18.4,25.1,20.6,15.5,11.8,-4.1
10일,-4.8,1.1,3.4,9.6,9.8,17.0,19.5,25.9,19.0,12.6,10.6,-2.4
11일,-7.4,-4.6,4.3,15.7,12.7,15.5,22.6,24.6,18.4,10.6,10.2,3.0
12일,-9.4,-4.0,6.0,13.0,16.3,16.2,25.1,26.3,19.7,9.5,11.0,0.5
13일,-5.7,-2.6,9.7,11.6,16.8,17.4,24.8,27.3,20.7,11.7,10.3,-1.5
14일,-1.1,1.9,12.4,11.1,16.0,17.6,24.8,27.5,20.5,12.8,9.0,-2.2
15일,4.2,5.1,10.1,9.5,18.7,17.1,23.6,25.6,20.8,14.9,8.9,-1.5
16일,5.5,3.6,2.4,8.5,19.6,16.2,23.4,23.7,22.0,13.9,10.5,3.3
17일,5.4,0.2,2.3,11.0,20.0,15.1,24.7,23.2,21.7,12.8,9.7,3.1
18일,4.1,0.1,4.9,12.1,12.9,19.8,25.2,22.2,21.7,12.1,9.1,1.8
19일,1.8,4.1,5.4,11.4,12.7,19.8,25.7,21.2,20.9,11.4,7.6,5.2
20일,0.7,3.2,3.0,14.5,12.3,19.4,26.0,22.6,20.1,10.8,6.6,8.3
21일,2.1,2.6,1.0,13.8,13.5,21.0,26.8,24.1,19.3,11.3,7.9,8.0
22일,4.7,0.2,2.0,13.5,14.1,20.8,26.9,27.5,19.1,13.1,4.2,9.4
23일,-5.4,1.9,4.7,11.0,15.0,20.8,27.5,26.3,19.2,15.7,2.7,3.9
24일,-9.8,5.5,6.6,10.6,14.1,21.1,26.7,25.1,16.8,12.5,3.2,0.9
25일,-9.8,5.6,8.8,8.0,18.4,20.8,26.5,24.6,14.9,12.2,6.2,0.2
26일,-9.9,3.2,12.1,9.3,17.4,21.0,27.8,23.9,17.3,13.6,5.8,3.8
27일,-8.6,4.2,11.4,12.4,16.1,22.2,27.5,23.9,17.0,9.6,10.6,-4.7
28일,-1.0,7.6,11.5,11.1,17.7,18.5,26.9,25.5,16.8,8.1,7.9,-7.1
29일,-6.0, ,11.2,14.5,17.5,21.2,25.5,24.7,17.2,10.6,6.0,-5.5
30일,-6.8, ,10.2,15.2,18.6,19.8,25.5,25.4,15.9,8.0,7.4,-5.2
31일,-3.4, ,9.0, ,17.7, ,26.3,23.7, ,7.9, ,-0.1
평균,-1.9,-0.2,6.0,11.1,15.0,18.9,23.9,25.3,19.5,13.0,8.9,2.0
