,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일, , , , , , ,0.0, ,2.3,9.8, ,33.3
2일, , , , , , , , ,40.4,94.8, ,2.5
3일, ,21.4, , , , , , ,5.8,1.8,2.3, 
4일, , ,0.0, , , , , ,1.3, , , 
5일, , , , , , , , , ,1.2, , 
6일, , ,1.1, ,0.0,28.0, ,72.5,0.0, , , 
7일, ,0.0, ,13.2, ,45.7, ,1.2,12.3,1.4, , 
8일, , , , , , ,0.0, ,1.3, , , 
9일, , , ,8.3, , , , , , , , 
10일, ,0.0,29.7,6.9, , ,35.1, , , ,1.7, 
11일, , ,0.0, , ,0.0,4.5, ,13.4, , , 
12일,0.7, ,0.1,2.5, , , , ,3.9, , , 
13일, , , , , , ,0.0, , , , , 
14일, , , ,0.0,0.0,9.2, ,0.2, , , , 
15일, ,1.3,4.0, , ,1.0, ,6.2, , , , 
16일, , , , , , , , , , , , 
17일, , , , ,0.0, ,2.8, , , ,2.0,0.0
18일, ,0.0, , ,37.1,0.2,38.5, , ,29.5,6.8, 
19일,0.5,28.8, , ,8.4, ,57.7, , , , , 
20일,0.2, ,33.7, ,1.1, ,172.2, ,0.3, , , 
21일, , ,5.7, , , ,38.4,23.0,30.4, , , 
22일, , , , , , , ,45.1,81.6,0.0, , 
23일, , , ,7.3, , , ,0.0,2.5,1.4, , 
24일, , , ,16.1, , ,0.0,0.0, ,0.0,1.0, 
25일, , , ,0.1, , ,0.1,0.0, , , , 
26일, , , ,5.3, ,112.5,0.0, , , , ,1.7
27일, ,0.0, , ,28.4,36.5,7.3,4.7,15.3, , , 
28일, ,0.0, , , , , ,2.2,68.2, ,0.0, 
29일, , , ,25.3, ,91.0,2.3,1.2, , , ,11.4
30일, , ,1.1,0.0, ,0.2, , ,0.0, , ,1.4
31일,11.3, , , ,1.1, , , , , , , 
합계,12.7,51.5,75.4,85.0,76.1,324.3,358.9,156.3,279.0,139.9,13.8,50.3
