,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,0.4,1.9,3.1,2.4,7.0,8.5,8.8,0.9,9.5,9.9,0.6,10.0
2일,0.0,2.5,5.1,0.3,0.0,5.9,7.4,1.3,10.0,10.0,4.8,2.5
3일,0.0,9.9,9.6,0.0,0.0,2.0,7.9,3.8,10.0,4.9,6.3,1.6
4일,5.4,4.1,4.8,2.6,3.9,0.0,4.8,2.0,9.3,1.5,3.6,0.4
5일,4.6,2.8,6.1,2.1,5.5,1.6,6.0,4.5,7.3,8.0,0.0,2.6
6일,4.3,5.4,7.4,0.0,4.3,7.1,2.0,8.6,8.9,6.0,1.8,4.9
7일,2.9,6.6,4.3,7.4,0.9,10.0,6.6,4.3,8.8,9.5,4.0,0.0
8일,3.6,5.4,0.6,4.0,6.0,7.1,8.6,4.3,8.4,3.8,0.0,0.0
9일,5.3,8.0,4.9,7.4,5.1,5.9,8.9,6.3,6.1,0.0,0.0,0.0
10일,4.8,7.0,9.1,9.4,4.8,6.3,9.9,5.5,7.1,0.8,6.8,2.0
11일,5.0,3.5,3.4,6.6,1.9,7.5,6.6,6.9,9.3,1.0,1.3,2.9
12일,8.9,3.3,2.0,4.8,2.4,4.8,7.5,5.4,9.4,2.3,2.9,0.0
13일,2.6,2.3,1.6,5.3,6.8,3.5,9.6,3.5,3.8,2.0,6.0,3.5
14일,3.0,5.9,1.5,6.4,5.0,9.6,6.3,7.6,1.4,0.5,0.0,1.9
15일,6.0,8.4,4.0,0.0,5.8,7.5,6.6,9.0,3.1,6.3,0.0,4.9
16일,1.5,5.9,0.0,4.9,5.0,5.9,2.3,4.8,3.6,4.1,0.6,4.3
17일,0.9,1.8,0.3,4.8,7.5,7.0,7.6,0.0,0.8,7.4,9.3,6.1
18일,2.1,9.3,8.3,2.6,9.8,8.6,10.0,3.8,3.4,9.6,8.6,3.9
19일,8.0,7.6,1.8,7.8,10.0,4.4,10.0,7.3,1.1,5.0,2.8,6.1
20일,2.0,2.6,9.0,1.1,6.3,3.4,10.0,8.3,7.8,3.5,0.0,3.3
21일,0.0,5.6,7.8,6.8,0.3,5.3,7.5,9.3,10.0,1.9,2.4,6.6
22일,0.0,7.9,3.0,3.6,0.0,6.1,4.9,9.3,10.0,5.5,2.3,6.3
23일,0.0,6.0,4.3,9.4,0.8,5.0,6.9,7.3,9.9,9.4,2.8,0.5
24일,0.0,1.6,0.0,9.5,0.0,2.1,8.6,6.0,1.6,9.0,8.0,3.0
25일,4.8,2.8,6.5,9.9,7.3,4.1,9.6,6.8,5.1,6.4,7.4,3.3
26일,0.0,4.3,0.5,9.5,7.0,9.4,9.0,5.5,4.3,5.4,4.4,7.9
27일,0.3,9.8,4.0,4.8,9.9,9.4,9.6,10.0,9.6,4.6,8.8,0.0
28일,2.8,6.0,6.9,7.5,7.1,8.9,6.6,9.5,9.4,3.9,6.9,0.0
29일,0.8, ,6.9,9.9,0.8,9.8,5.6,9.5,5.0,0.4,0.0,8.6
30일,7.6, ,5.9,8.3,6.5,7.8,5.0,4.0,7.6,0.0,4.9,5.3
31일,7.0, ,2.6, ,5.8, ,2.5,4.3, ,0.0, ,0.0
평균,3.1,5.3,4.4,5.3,4.6,6.2,7.2,5.8,6.7,4.6,3.6,3.3
