,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,9.2,10.0,9.7,10.0,5.5,9.4,2.2,12.6,0.3,0.0,9.6,0.0
2일,9.3,9.9,5.6,11.8,12.4,10.3,7.6,12.6,0.0,0.0,7.3,9.1
3일,9.4,0.0,2.1,11.9,12.5,11.8,3.2,11.9,0.2,9.1,5.3,8.8
4일,4.8,9.7,8.9,11.5,12.1,12.6,12.1,12.3,0.2,10.4,4.9,9.1
5일,6.4,9.7,6.8,11.1,11.7,12.8,10.6,10.0,9.2,4.9,10.1,9.1
6일,7.1,9.5,2.6,11.3,10.7,8.9,12.9,0.6,2.9,9.9,10.1,6.9
7일,9.3,2.6,6.7,0.0,12.5,0.0,10.6,11.3,1.5,0.1,8.0,9.3
8일,8.8,7.6,10.7,11.0,9.8,6.9,4.2,10.2,3.5,9.5,10.0,9.3
9일,6.6,8.5,10.2,6.0,10.4,8.5,2.1,10.1,8.8,10.6,10.1,9.2
10일,6.6,5.6,0.0,0.3,11.6,9.0,0.0,11.5,5.5,10.6,4.6,7.7
11일,7.9,10.1,10.1,4.9,12.5,6.7,6.6,10.1,3.1,10.6,9.8,8.4
12일,0.2,9.3,10.4,10.1,12.4,9.9,10.1,11.7,0.3,10.4,9.0,9.3
13일,6.2,9.8,10.9,9.6,8.9,12.1,0.1,12.5,11.3,10.4,2.0,7.1
14일,8.7,7.4,11.2,2.7,11.6,0.0,10.2,9.9,10.1,10.3,9.8,8.8
15일,8.4,0.4,5.8,12.1,11.9,8.4,5.9,0.3,8.9,2.8,9.7,7.8
16일,9.5,9.4,11.3,11.0,11.1,8.2,12.7,11.5,10.3,9.3,9.2,7.6
17일,9.6,10.5,11.4,8.5,9.1,10.5,11.0,12.4,11.4,4.0,0.2,2.0
18일,9.7,1.5,6.4,11.5,0.0,0.7,0.0,8.9,9.5,0.0,4.4,8.2
19일,4.6,0.4,10.7,1.8,0.0,10.7,0.0,8.4,11.4,8.3,9.6,7.6
20일,9.4,10.1,2.0,12.0,5.8,10.1,0.0,4.0,6.6,8.2,9.7,7.7
21일,9.8,9.1,8.3,7.1,12.7,12.6,1.6,2.1,0.0,10.1,9.3,0.1
22일,9.7,5.4,9.9,11.8,12.7,10.6,11.9,0.6,0.0,8.0,9.3,1.2
23일,9.3,8.1,9.3,0.1,12.6,10.9,10.1,2.9,0.2,0.5,9.5,8.6
24일,9.5,10.5,11.7,1.8,12.6,12.2,3.7,7.1,10.6,0.2,1.1,7.9
25일,3.9,10.1,4.7,0.0,11.1,11.7,0.6,2.5,8.0,8.6,5.4,9.1
26일,9.8,9.9,11.2,0.0,9.9,0.0,0.6,8.8,9.2,9.3,7.9,0.0
27일,10.0,0.6,10.3,10.7,0.0,1.1,0.0,0.0,0.5,9.5,0.8,9.2
28일,8.4,6.2,7.4,4.9,8.5,3.5,10.4,0.2,0.9,9.6,2.6,9.2
29일,9.7, ,9.2,0.0,12.8,0.0,7.1,0.0,6.9,9.4,9.6,0.0
30일,7.8, ,9.1,5.2,9.5,4.8,11.7,11.5,6.4,10.3,7.2,6.7
31일,0.8, ,11.4, ,7.3, ,12.6,11.0, ,10.3, ,9.3
합계,240.4,201.9,256.0,210.7,302.2,234.9,192.4,239.5,157.7,225.2,216.1,214.3
