,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,7.6,6.1,7.6,9,8.3,6.8,8.3,6.1,5,6.5,6.5,5.8
2일,6.1,3.6,4,7.9,8.3,6.1,8.3,4.3,5.8,10.8,5.4,11.2
3일,5,6.1,5.4,8.3,5.8,6.5,6.1,4.7,8.3,10.1,7.6,5.8
4일,4.3,7.6,6.8,9,6.1,7.9,6.8,4.3,9,7.6,7.6,6.5
5일,7.9,3.6,7.2,10.4,7.9,6.5,5.4,4,7.2,10.4,5.8,11.5
6일,4.3,4.7,7.2,4,11.2,4.3,6.1,5.4,7.6,10.4,6.5,6.1
7일,5,12.6,7.9,6.1,8.3,6.8,7.9,4.3,21.6,6.5,9.7,6.1
8일,9.4,8.3,6.8,9,8.3,5,7.2,5.8,6.8,9.4,6.8,5
9일,4.7,9.7,4.7,8.6,7.9,6.5,6.5,4.7,6.1,6.1,5.8,9
10일,4.7,6.1,4.3,6.5,6.8,5.8,7.2,5.4,8.6,4.7,7.6,4.3
11일,3.6,8.3,6.5,6.8,6.5,5,4.7,9,11.2,6.8,8.6,12.2
12일,4.7,6.8,9.7,7.9,5.4,6.5,7.2,4.7,9.4,12.6,5,6.5
13일,5,8.6,11.9,6.5,5.8,6.1,6.1,5.4,6.1,6.8,10.1,7.2
14일,3.2,5,6.8,7.9,5.8,6.5,5.8,5.4,4.3,9,10.4,8.3
15일,9.7,6.8,5.8,6.5,6.1,8.6,4,4.7,6.1,5.8,7.2,7.2
16일,8.3,9.4,6.5,5.8,5.4,5.8,4.7,7.9,7.6,5.8,5.8,6.8
17일,6.1,6.8,7.2,6.8,4.3,8.3,4.3,9,7.6,6.1,11.2,8.3
18일,4.7,4.7,5,7.2,7.6,5.4,4.3,6.1,11.2,8.6,14,9
19일,4.3,5,5,5.8,4.3,6.8,5.4,4,6.8,6.5,10.1,8.6
20일,11.5,7.6,5,6.8,12.2,6.8,7.6,5.4,7.6,4.7,6.5,8.3
21일,5.8,5.4,10.4,6.8,10.4,6.1,7.9,4.3,7.2,3.6,6.8,6.1
22일,6.1,5.4,10.1,5,8.6,5.4,7.9,6.1,13.7,5.8,7.6,6.1
23일,8.3,4,8.6,4.7,6.1,6.5,6.1,7.6,7.9,8.6,6.5,7.2
24일,6.1,6.5,8.3,5.8,6.1,7.2,5.8,5.4,6.5,9.7,7.9,5
25일,9.4,8.3,7.2,7.2,5.8,5.8,4.3,5.4,5,8.6,9.7,3.6
26일,8.6,5.8,7.2,5.4,6.5,4.7,6.1,4.3,6.8,9,7.2,8.6
27일,6.1,5.8,10.8,6.1,8.6,5,4.7,3.6,6.8,5.8,9.7,7.6
28일,11.2,7.2,9.4,5.8,9.4,6.1,7.9,6.8,6.1,9,7.2,7.2
29일,5.4,,7.6,3.2,7.2,4.3,9.4,7.9,6.1,8.3,7.2,10.4
30일,5.4,,10.4,5.8,8.6,8.3,12.2,8.6,5.8,5.8,6.1,10.4
31일,10.4,,11.5,,10.1,,7.9,6.8,,8.3,,11.2
평균,6.5,6.8,7.6,6.8,7.6,6.1,6.5,5.8,7.9,7.6,7.9,7.6
