단어,빈도수,품사
유채꽃,52,Noun
유채,27,Noun
축제,24,Noun
좋아요,18,Adjective
입니다,17,Adjective
좋은,17,Adjective
공원,15,Noun
장소,12,Noun
산책,12,Noun
낙동강,10,Noun
사진,10,Noun
있습니다,10,Adjective
아름다운,10,Adjective
정말,9,Noun
매우,9,Noun
부산,8,Noun
생태,8,Noun
아주,8,Noun
주차장,8,Noun
넓은,7,Adjective
자전거,7,Noun
사람,7,Noun
구경,7,Noun
휴식,7,Noun
최고,7,Noun
벚꽃,7,Noun
공간,6,Noun
자연,6,Noun
가을,6,Noun
데이트,6,Noun
좋습니다,6,Adjective
주차,6,Noun
가족,6,Noun
넓고,6,Adjective
벗꽃,6,Noun
코스,5,Noun
있고,5,Adjective
걷기,5,Noun
운동,5,Noun
계절,5,Noun
좋음,5,Adjective
아름답고,5,Adjective
도심,4,Noun
좋고,4,Adjective
산책로,4,Noun
조금,4,Noun
조성,4,Noun
대나무,4,Noun
좋았어요,4,Adjective
경치,4,Noun
장관,4,Noun
시간,4,Noun
아름답습니다,4,Adjective
강변,3,Noun
마음,3,Noun
있는,3,Adjective
갈대,3,Noun
조화,3,Noun
같습니다,3,Adjective
연인,3,Noun
중간,3,Noun
시설,3,Noun
먹거리,3,Noun
있으면,3,Adjective
있어,3,Adjective
찍기,3,Noun
나비,3,Noun
다른,3,Noun
있어서,3,Adjective
노란,3,Adjective
멋진,3,Adjective
핑크,3,Noun
뮬리,3,Noun
해바라기,3,Noun
코스모스,3,Noun
같은,3,Adjective
향기,3,Noun
근처,3,Noun
애견,3,Noun
대저,3,Noun
아이,3,Noun
취하,3,Noun
방문,3,Noun
바람,3,Noun
길이,3,Noun
느낌,3,Noun
공기,3,Noun
나들이,3,Noun
많아요,3,Adjective
때문,3,Noun
가장,3,Noun
강간,3,Noun
그냥,2,Noun
좋지만,2,Adjective
유일한,2,Adjective
상태,2,Noun
추억,2,Noun
차량,2,Noun
좋을것,2,Adjective
가운데,2,Noun
