시간,일요일,월요일,화요일,수요일,목요일,금요일,토요일
오전 4시,1%,1%,1%,1%,1%,1%,1%
오전 5시,1%,1%,1%,1%,1%,1%,1%
오전 6시,1%,1%,1%,1%,1%,1%,1%
오전 7시,10%,1%,1%,1%,1%,0%,7%
오전 8시,24%,1%,1%,4%,2%,9%,20%
오전 9시,34%,2%,2%,10%,9%,19%,33%
오전 10시,41%,6%,9%,17%,15%,30%,44%
오전 11시,48%,11%,15%,23%,20%,38%,54%
오후 12시,59%,18%,21%,28%,23%,44%,65%
오후 1시,73%,21%,25%,28%,25%,46%,81%
오후 2시,86%,19%,27%,26%,25%,45%,95%
오후 3시,88%,14%,25%,23%,23%,40%,100%
오후 4시,77%,9%,22%,20%,21%,34%,87%
오후 5시,57%,5%,16%,18%,17%,26%,62%
오후 6시,36%,2%,9%,13%,11%,18%,37%
오후 7시,17%,1%,2%,7%,5%,10%,20%
오후 8시,4%,1%,1%,1%,1%,2%,10%
오후 9시,1%,1%,1%,1%,1%,1%,4%
오후 10시,1%,1%,1%,1%,1%,1%,1%
오후 11시,1%,1%,1%,1%,1%,1%,1%
오전 12시,1%,1%,1%,1%,1%,1%,1%
오전 1시,1%,1%,1%,1%,1%,1%,1%
오전 2시,1%,1%,1%,1%,1%,1%,1%
오전 3시,1%,1%,1%,1%,1%,1%,1%
