단어,빈도수,품사
좋은,45,Adjective
좋아요,45,Adjective
공원,40,Noun
자전거,39,Noun
산책,33,Noun
벚꽃,27,Noun
운동,24,Noun
입니다,20,Adjective
주차,18,Noun
장소,17,Noun
시설,15,Noun
공간,15,Noun
좋습니다,15,Adjective
사람,14,Noun
가족,14,Noun
넓은,13,Adjective
생태,12,Noun
좋고,12,Adjective
부산,12,Noun
넓고,12,Adjective
최고,11,Noun
있고,10,Adjective
정말,10,Noun
휴식,9,Noun
좋음,9,Adjective
데이트,8,Noun
그늘,8,Noun
타고,8,Noun
아주,8,Noun
있는,8,Adjective
대여,8,Noun
구경,8,Noun
낙동강,7,Noun
강변,7,Noun
자연,7,Noun
있어요,7,Adjective
좋다,7,Adjective
걷기,6,Noun
많은,6,Adjective
축구장,6,Noun
주차장,6,Noun
가을,6,Noun
있습니다,6,Adjective
벗꽃,6,Noun
여기,6,Noun
갈대,6,Noun
바람,6,Noun
코스모스,6,Noun
야구장,5,Noun
있어,5,Adjective
행사,5,Noun
방문,5,Noun
아이,5,Noun
계절,5,Noun
있음,5,Adjective
모기,5,Noun
나들이,5,Noun
캠핑,5,Noun
경치,5,Noun
있어서,4,Adjective
가까운,4,Adjective
도시락,4,Noun
여름,4,Noun
겨울,4,Noun
같은,4,Adjective
화장실,4,Noun
풍경,4,Noun
매우,4,Noun
무료,4,Noun
명소,4,Noun
도심,4,Noun
체육,4,Noun
공기,4,Noun
많고,4,Adjective
강아지,4,Noun
사상,4,Noun
힐링,4,Noun
산책길,4,Noun
다양한,4,Adjective
추천,4,Noun
산책로,4,Noun
축제,4,Noun
별로,4,Noun
자전거타기,4,Noun
연인,3,Noun
없다,3,Adjective
주말,3,Noun
같습니다,3,Adjective
싸이클,3,Noun
정도,3,Noun
도로,3,Noun
잔디,3,Noun
야외,3,Noun
나무,3,Noun
사랑,3,Noun
국제,3,Noun
한강,3,Noun
사진,3,Noun
먹거리,3,Noun
진해,3,Noun
