시간,일요일,월요일,화요일,수요일,목요일,금요일,토요일
오전 4시,1%,1%,1%,1%,1%,1%,1%
오전 5시,1%,1%,1%,1%,1%,1%,1%
오전 6시,7%,3%,1%,1%,1%,1%,4%
오전 7시,19%,3%,2%,1%,1%,3%,11%
오전 8시,32%,2%,5%,2%,3%,5%,20%
오전 9시,42%,3%,9%,6%,6%,5%,27%
오전 10시,50%,6%,12%,9%,9%,6%,32%
오전 11시,58%,8%,14%,11%,10%,6%,37%
오후 12시,70%,10%,16%,13%,11%,9%,45%
오후 1시,85%,11%,18%,15%,12%,12%,57%
오후 2시,97%,13%,20%,17%,15%,17%,70%
오후 3시,100%,15%,23%,19%,19%,21%,78%
오후 4시,90%,15%,24%,20%,20%,24%,77%
오후 5시,70%,14%,23%,20%,18%,24%,66%
오후 6시,46%,11%,19%,17%,13%,21%,48%
오후 7시,24%,6%,13%,12%,7%,16%,30%
오후 8시,8%,2%,6%,6%,3%,10%,14%
오후 9시,1%,1%,0%,0%,1%,4%,4%
오후 10시,1%,1%,1%,1%,1%,1%,1%
오후 11시,1%,1%,1%,1%,1%,1%,1%
오전 12시,1%,1%,1%,1%,1%,1%,1%
오전 1시,1%,1%,1%,1%,1%,1%,1%
오전 2시,1%,1%,1%,1%,1%,1%,1%
오전 3시,1%,1%,1%,1%,1%,1%,1%
