,user_name,date,rating,review_text
0,DK Y,1달 전,4,휴양하기 매우 좋은 장소. 가족과 운동 휴게 간식 해양레포츠 다양한 여가활동이 가능합니다
1,Brian Seok,4주 전,5,가깝지만 흔하지 않은곳이에요. 김해공항에서 경전철타고 쉽게 갈수 있어요.
2,전성민,1달 전,5,"가족끼리와도 좋고 데이트하기도 좋고
아이들이 맘껏 뛰어놀수 있고 곤충채집도 할 수 있고 돗자리나 텐트치고 쉴 수 있어 좋아요"
3,김종만,4주 전,5,취미삼아 연 날리는데 ~푸른 하늘에 연날리는 멋은 황홀 합니다
4,김이람,4달 전,5,삼락오토캠핑장 이용했습니다. 시설좋고 편리하지만 강변이라 강풍이 자주붑니다. 텐트치기 어려울수 있고 바람때문에 다른곳 보다 밤에 더춥습니다. 위치나 편의성은 최고입니다.
5,혁군,1달 전,5,"야구, 산책, 럭비, 기타등등 무어라도 하기좋은 장소에요"
6,문민호,1주 전,5,으슥하니 좋네여 진도빼기 최고인듯
7,하갑둘,2달 전,4,자연섭지가와 강이 잘어울려져 운동하기 좋고 가족단위로 소풍가도좋은곳이며  여러가지 운동 할수있는곳도 많았습니다
8,Erick Kim,5달 전,5,"여러가지 운동시설과 생태공원을 갖춘 시민들의 휴식처입니다. 갈맷길 6코스에도 포함되어 있으며 워킹, 조깅 및 각종 스포츠(야구, 축구, 테니스, 수영, 게이트볼)등 다양한 시설들을 이용할수 있습니다."
9,한용재,2달 전,4,잔디도 많아서 텐트나 그늘막 설치하고 아이들이랑 놀기 좋음
10,moseok yeo,7달 전,4,서울에 이런 장소가 있었으면 난리났을꺼임..강.습지.자전거타기.캠핑.탐방.산책....사계절 모습이 특색있게 다름..특히 습지탐방..
11,Onecare 's Outdoor,1달 전,4,여유로운 풍경. 주차장에 그늘이 없어 아쉬움
12,lee jungho,2달 전,5,풀내음나고 새소리에 상쾌한 운동코스
13,김현우,8달 전,4,11월 23일 방문. 오늘은 사람이 많지 않아서 해지는거 구경하고 식사 후 산책하기 좋았음. 생각보다 넓고 쾌적함. 다음에 근처에 온다면 또 해지는거 보러 오겠음!
14,김도훈,3달 전,5,자전거 대여소에서 빌려서 타고다니면 재미있게 놀수있어요
15,고남우,7달 전,5,"자전거 도로 및 인도가 잘 되어있는곳 입니다.
야외활동 하기도 좋고 특히 봄에 꽃 구경 하기 정말 좋은 장소입니다"
16,박만규,5달 전,5,너무 잘 정비되어 주민으 휴식.체육공간으로 최고 인것 같음.
17,주태열,4달 전,5,넓고 조용하고 주위 경치 좋고 책한권 들고 와서 읽으면 좋음
18,고구바로셀로나,6달 전,4,연꽃단지가 2곳 잇습니다. 갈맷길6-1 중간스탬프 찍는곳은 야외수영장 근처 쪽입니다  잘못하면 많이 헤맵니다. 참고하시길
19,p42337 p42337,1달 전,3,아이들 자전거 타고 놀기에 적합
20,김봉수,5달 전,5,"넓고 다양한 컨텐츠를 즐길수있는 넓은공간, 정돈된시설이 좋아요"
21,김찬세,1달 전,4,잔디면 시원한 바람 편해요
22,이진이,2달 전,4,"좋아요ㅎㅎ 돗자리 들고 가시면 더 좋을 듯
그렇지만 쓰레기 버릴만한 데가 없어서 좀 아쉬웠어용"
23,김영애,5일 전,2,날씨가 비가 않왔는데도 자전거 대여소가 않해서 돌아옴
24,김둥지,9달 전,5,"주차하기도 좋고, 바로 고속도로 근처라서 접근성도 좋고, 공원 구성이 예쁘게 잘 되어있어요 커플들 가족들 와서 서로 사진찍어주규하면 너무 예쁘게 나올것같아요 
저처럼 노을질때 재빨리 가서 찍으셔도되고 
쨍쨍한 낮에 가서찍어도 이쁠것같아요"
25,Kimchangoon Kim,4달 전,3,"오토캠핑장진입로공사차량으로 주간통행불편 통행시차량흙먼지로 세차를해야했다.
김해국제공항이인접해  소음도 장난아니다.우천시에 불편예상"
26,재미유비,10달 전,5,시설이 잘되어있고 매우 넓다. 주차장도 무료고 크다. 자전거 빌려서 탈수도 있는데 한시간에 3천원이다. 조그만 GS25편의점이 있으나 가격은 좀 비싸다. 대신 카드가 되므로 주위 같은 가격에 현금만 받는곳보단 나음.
27,강지연,1달 전,4,벌레넘나 많음 날씨 더워서 그늘에 쉬다 물린모기생각하니 끔찍 하지만 자전거로 달리긴 너무좋음
28,김이호,1년 전,5,"걷기 좋은곳...
자전거 타기 좋은곳...
휴식하면서 쉬기 좋은곳...
연인과 손잡고 데이트 하기 좋은곳...
뭘 하든 좋은곳만 많은곳이 삼락생태공원이다.
낙동강변을 끼고 상당히 넓은 대단위 규모로 조성된 공원이라서 왠만한 시설들은 모두 갖추어져 있어서 이곳을 찾는 사람들의 불편함이 없다.
야구장  농구장 축구장에 헬스장이며 자전거 전용 경륜장에 곳곳엔 편히 앉아 쉴수있는 벤취와 그늘막이 있고 여름철엔 간이 수영장도 운영하고…"
29,배영찬,5달 전,5,도심에서 가까운곳에 제약없이 힐링 하기좋은곳입니다.
30,JMS,11달 전,4,"아이들과 언제나 와도 좋은 곳. 가까워도 자주 못가지만 주차, 놀이, 휴식은 언제나 보장되는 곳입니다.
넓어서 북적거림도 없고, 자전거, 걷기, 연날리기 기타 야외활동 모두 가능해서 좋아요.

참! 여름에 비온 뒤에는 모기 조심!"
31,MS J,1년 전,4,"주차장 여러곳이 있어 주차는 되지만 행사나 주말에는
가까운 주차장은 자리가 빨리 찹니다. 산책하기 좋고
애견인들도 자주오는거같습니다. 싸이클장 야구장등
여러시설이 있고, 방문하는 대다수는 산책정도 하는거같습니다.
가볼만한곳."
32,김혜윤,2달 전,5,피크닉하기 너무 좋은 곳
33,persist tomato,2달 전,5,넓고 탁트여 넘좋음
34,안선란,5달 전,5,낙동강 한국의 낭만을 느끼며 산책하기 좋아요
35,고성희,11달 전,4,"부산에 다른 공원들에 비해 굉장히 넓고, 사람이 북적이지 않아서 좋음. 주차공간이 넓음. 이마트, 홈플러스가 가까이 있어서 편리함. 공원내 유료 자전거대여서비스가 있음."
36,차니차니,1년 전,5,자전거도로 너무 잘되어 있어 자전거타고 놀기 너무 좋아요. 인라인 킥보드 아이들이 즐기기에 딱이네요. 잔디그늘에 그늘막치고 도시락먹으며 놀수있어 최고네요~
37,이경원,1주 전,4,쓰레기통이하나도없어요ㅜㅠ
38,서금주,1년 전,5,"내가 머리식히려 잘 가는 곳!
아주 넓은 공간이 야외로 나가지 않아도 도시에 있다는 것!
강도 나무도 꽃도 즐길 수 있는  눈맛좋고 기분좋게 만드는
공간. 봄, 여름, 가을, 겨울이 다 특색있어 언제나 가고 싶은 곳. 봄물 오를 때, 흐느적거리는 연둣빛 버드나무와 강가의 붓꽃(아이리스)를 꼭 즐겨보시길 권함. 여름날은  이른 아침에 거닐어보시길! 가을의 갈대숲과 역새밭을 즐겨보시길..겨울..강가에서 강바람을 맞아보시길..
제가 넘 사랑하는 장소입니다. 강추!"
39,최재홍,6달 전,5,핑크뮬리 이뻐요 사진도 이쁘게 찍을 수 있게 잘되있고 다만 비 많이 온 뒤에는 좀 질퍽거림..
40,이이숙근,2달 전,5,부산. 최대 벚꽃 휴양지
41,서용준,6달 전,4,봄/가을  산책 및  운동하기 좋은곳이에요
42,박광제,7달 전,5,갈맷길에 남아있는 갈대밭 분위기가 아주 좋았어요
43,보라,8달 전,5,자전거 타기도 좋고 산책하기도 좋고 강아지 데리고 놀기도 좋습니다. 풍경도 좋고
44,최차규,2달 전,5,워킹 하기 좋은 장소
45,임성호,11달 전,4,첫째로 주차하기좋고 화장실도 많으며 주변경관 또한 멋진곳이 정말많은곳으로 갈대가 우거진  강변을 걷는 느낌이란 정말  영화로나 볼수있는 곳이다 특히 해질녁의 일몰경 강가의 갈대슾길 산책이란  황홀한느낌과 건강한 느낌을 동시에 갖을수있는 좋은 멋진곳이다.
46,Jung Wook Seo,1달 전,5,아름다운 곳입니다
47,YouTube이류 모바일게임 전문 유튜버,9달 전,3,야구장가서야구했는데. 파울치면공이옆으로빠져서 공을 잘 잃어버렸어요
48,서점남,11달 전,5,"가을이 문턱에오니 코스모스가 피기시작하고 ,
각종 여러 식물들을 관찰할수있으며,
 연꽃도 한창 피는시기여서,
 도시락싸서 연인과 함께,또 가족과함께 나들이 하기에 좋은 상소입니다."
49,도니,10달 전,5,해가 지는 시간에다면 멋진 사진을 찍을 수 있어요 광각이 있으신분들은 일반과 광각 둘 다 사용해서 마음에 드는 사진 얻을 수 있을거같아요
50,강명호,8달 전,4,억새와갈대를보며 운동과 산책하기 좋은장소입니다.
51,Jimmy Lee,1년 전,5,부산국제락페스티벌 참여를 위해 서울에서 당일치기로 다녀왔습니다. 강에서 바다로 이어지는 길목의 공원이라 뉴욕 멘하탄 리버사이드 같은 느낌이 나더군요!! 서울 한강공원이 하나도 부러울 것이 없는 넓은 공원이였습니다. 한여름밤에 시원한 강바람 맞으며 라이브 음악을 들으니 세상 좋더라구요. 화장실이나 비오면 진흙처럼 떡지는 바닥으로 사람들이 뭐라고 했지만 그렇지 않은 야외공원이 어디 많은가요.. ㅎ
52,심민우,5달 전,5,벚꽃이 필때 최고의 장소. 소음만 빼면.
53,김동은,2달 전,5,자전거 타기에도 좋아요
54,연두{곤쥬},7달 전,5,항상 아이들이랑 같이 가는 삼락공원 좋아합니다.
55,kyu wan kim,1주 전,5,아이와 곤충체집 다녀왔어요
56,Jo Ker,8달 전,4,"벚꽃이 피면 볼만한곳
그리고 각종 축제를 함"
57,JungHo HEO,1달 전,5,주차편하고좋습니다
58,Jangwon Lee,1년 전,5,계절마다 즐길수있는 풍경이 멋지고 자전거대여도 해줌.자전거 로드로써 매우 훌륭함.사진찍기도 좋으며 운동하기도 좋음.
59,神의손TV,1년 전,4,"야구장,축구장,테니스장 그리고 강변따라 강변길이
형성이 잘되어있는곳이다
한강시민공원 같은곳이지만 한강보다 공원조성이 
크게 잘되어있고 크고넓은 무료주차장이 있기때문에 언제든지 맘편하게올수있는곳이다
봄에는 강변길따라 자전거길이있고 봄에는 벚꽃의절정을 볼수있는곳이다
아쉬운점이있다면 축구장은 잔듸구장인데 야구장은 흙밭이다 요즘 잔듸야구장이 주류던데
그점이 약간은 아쉬워보인다"
60,최강수,6달 전,3,밤에는 많이 어두워서 아쉬웠음
61,김병국,6달 전,5,트래킹 하기에 너뭄 좋은 장소
62,아이아이,8달 전,5,역시 삼락생태공원은 지금 이 시기가 최고인거 같아요
63,Doo아튀스트,1년 전,5,4계절 언제든 갈 수 있는 북구사람들이 사랑하는 삼락공원입니다. 특히 3월과 4월에는 봄을 알리는 다채로운 행사덕분에 볼거리 먹거리가 많지만 일찍 안간다면  차량 정체 주차난국에 시달린답니다.
64,UJ Kim,8달 전,5,김해공항 이용시 무료주차 때문에 가끔 이용합니다. 공항에서 삼락공원까지 택시 이용하면 기사아저씨 아주아주 화냄.  참고 하세요 ㅠㅠ
65,김광성,8달 전,4,탁트인 광장 및 강가를 느낄수  있어요
66,이상귀,9달 전,3,캠핑하기 괜찮아요! 친구들과 좋은시간 보냈읍니다.
