단어,품사,빈도수,해시태그,개수
공원,Noun,990,#삼락생태공원,2705
부산,Noun,760,#부산,834
생태,Noun,702,#삼락공원,486
벚꽃,Noun,602,#벚꽃,368
그램,Noun,333,#일상,324
사진,Noun,272,#사상,253
오늘,Noun,270,#대저생태공원,217
스타,Noun,246,#부산락페스티벌,170
우리,Noun,213,#부산여행,127
날씨,Noun,199,#소통,121
주말,Noun,195,#벚꽃축제,120
사람,Noun,177,#daily,117
산책,Noun,166,#봄,117
바람,Noun,159,#데일리,116
좋은,Adjective,152,#럽스타그램,115
축제,Noun,152,#주말,113
가을,Noun,147,#busan,106
엄마,Noun,146,#산책,103
국제,Noun,143,#보수동책방골목,101
이용,Noun,139,#허브랑야생화,100
자전거,Noun,130,#국립부산과학관,99
시간,Noun,128,#부산박물관,99
사상,Noun,124,#비프광장,99
구경,Noun,124,#더베이101요트클럽,99
나들이,Noun,123,#황령산봉수대,99
일상,Noun,120,#힐스파,99
피크닉,Noun,117,#오랑대공원,99
친구,Noun,116,#대변항,99
록페스티벌,Noun,114,#벚꽃놀이,97
아빠,Noun,113,#사상구,93
사랑,Noun,111,#피크닉,89
본점,Noun,110,#부락,88
다음,Noun,109,#좋아요,86
모집,Noun,103,#나들이,83
가맹,Noun,101,#꽃놀이,81
체인점,Noun,100,#데이트,81
테마,Noun,99,#로맨틱펀치,81
점주,Noun,99,#멍스타그램,80
아들,Noun,98,#맞팔,79
고객,Noun,98,#반려견,73
탈출,Noun,98,#코스모스,73
아이,Noun,96,#잔나비,71
입니다,Adjective,90,#삼락공원벚꽃축제,68
삼락,Noun,86,#연꽃,66
가족,Noun,81,#감성사진,65
하늘,Noun,78,#일상스타그램,65
하루,Noun,76,#부산국제락페스티벌,63
데이트,Noun,76,#삼락,62
육아,Noun,74,#부산국제록페스티벌,62
아기,Noun,73,#가을,60
보고,Noun,72,#풍경,60
여행,Noun,72,#스냅사진,60
즐거운,Adjective,72,#여행,60
촬영,Noun,70,#photo,60
맞팔,Noun,69,#부산벚꽃,60
마지막,Noun,69,#photography,58
생각,Noun,68,#댕댕이,58
있습니다,Adjective,67,#공연,57
있는,Adjective,66,#자전거,55
이제,Noun,65,#노을,53
연꽃,Noun,65,#부산락페,53
타고,Noun,64,#부산카페,52
이번,Noun,64,#selfie,50
진짜,Noun,64,#사진,49
미용,Noun,64,#소니이미지갤러리,49
문의,Noun,63,#낙동강,49
올해,Noun,63,#canon,49
락페스티벌,Noun,63,#캐논이미지스토밍,49
여름,Noun,62,#좋아요반사,48
꽃놀이,Noun,62,#korea,46
기분,Noun,61,#부산맘,46
아침,Noun,61,#힐링,46
가능,Noun,61,#강아지,46
락페,Noun,61,#셀스타그램,45
오빠,Noun,60,#landscape,45
예쁜,Adjective,60,#꽃,45
모델,Noun,59,#greenstage,45
다시,Noun,59,#음악,45
최고,Noun,58,#락,45
소통,Noun,58,#갈대,44
시작,Noun,57,#god,44
하나,Noun,56,#풍경사진,43
같은,Adjective,55,#꽃구경,43
처음,Noun,55,#인물사진,42
어제,Noun,55,#f4f,42
벚꽃놀이,Noun,55,#ig,42
카페,Noun,55,#주말나들이,42
모두,Noun,53,#갈대밭,41
코스모스,Noun,52,#푸들,41
노을,Noun,52,#락페스티벌,41
좋다,Adjective,52,#cherryblossom,41
갈대,Noun,51,#멍멍이,40
힐링,Noun,51,#연꽃단지,40
부산여행,Noun,51,#배인혁,40
좋아요,Adjective,51,#하늘,39
신나게,Adjective,50,#육아스타그램,39
항상,Noun,49,#을숙도,39
역시,Noun,49,#follow,39
마음,Noun,49,#부산락페스티벌2019,38
공연,Noun,48,#벚꽃구경,38
