게시 날짜,게시글,링크
2018-10-18,"在大渚生態公園賞 粉黛亂子草(粉色芒草) 😍
🇹🇼 #korea #busan 🇰🇷 #韓國 #韓國旅行 #韓國觀光 #韓國景點 #韓國旅遊 #釜山 #釜山旅行 #大渚生態公園 #粉黛亂子草 #粉色芒草 #한국 #한국여행 #부산 #대저생태공원 #핸드폰사진",https://www.instagram.com/p/BpE9MDmjBtZ/
2018-04-08,".
나:형 좀 찍어봐
동생:그럼 나도 좀 찍어봐",https://www.instagram.com/p/BhTO6HnjKJc/
2018-04-24,"매콤한 케밥에 유채꽃 먹거리 좋다~^^
#대저생태공원 #대저유채꽃축제",https://www.instagram.com/p/Bh8FBegBx7Z/
2018-04-22,"이모랑 유채꽃축제
겨우 3년만에 다시오길 잘 한듯
#대저유채꽃축제 #대저생태공원",https://www.instagram.com/p/Bh3i6cfhEFu/
2018-04-08,18.04.07.🌸,https://www.instagram.com/p/BhUR9-nHA00/
2018-04-09,"#니콘
#출사
#장수사진관
#여행
#감성사진
#일반인모델
#출사명소
#대저생태공원
#유채밭
#컨셉촬영",https://www.instagram.com/p/BhW1-SBnNC8/
2018-10-03,".
가을이네
.
.
.
#코스모스#핑크뮬리#억새
그리고
#푸른하늘
#대저생태공원",https://www.instagram.com/p/Bodv9e3gtgI/
2018-04-03,#유채꽃과 벚꽃#korea#부산여행추천지 #대저생태공원,https://www.instagram.com/p/BhHC2n2hNI2/
2018-10-14,"☀️☀️☀️
#대저생태공원 #대저생태공원핑크뮬리 #핑크뮬리 🌸 #haveagoodday",https://www.instagram.com/p/Bo5zGqShOqw/
2018-12-28,"2018.12.28 금요일 맑음
한파주의보로 전국이 꽁꽁인 오늘
모두들 외투 단단히 챙겨입으세요.

한시간 전에 카페, 일기는 오픈했어요.

오늘의 디저트 라인업
#꾸덕브라우니
#푸딩딩(커스터드푸딩)
#바나나크림파이
#딸기가득토스트(오픈토스트)
준비되어 있어요

12월 영업시간 및 휴무
매일 13시~21시(L.O : 20시)
매주 화요일은 정기휴무
25일 크리스마스 정상영업(26일 대체휴무)",https://www.instagram.com/p/Br6zrBGnKRb/
2018-12-28,"나온지 한달도 안된
극초기 부업!! <마켓붐>
.
초기부업은 타이밍이 제일 중요한거 다 아시죠??
.
포화상태인 부업시장속에서
언제까지 계속 맴돌고만 있을건가요!!
.
이젠, 제대로 시작해보셔야죠!!
.
*글쓰게 하루1개 최대2만원
*한달 최대40만원 고정수익!
*초기비용 100% 회수가능
*첫날부터 수익
*리셀러모집까지하면 고수익가능
*극초기부업!!
.
첫날부터 수익나는 한달최대40만원
고정수익!!!!!
초기비용 100% 회수가능한 꿀부업!
이제 고민말고 시작해요!!
.
마켓붐 1등양심멘토 차차
마케팅경력15년 제대로 멘토링해드려요
.
카톡아이디 chacha1230
.
#마켓붐 #마켓붐차차

#육아맘부업 #삼청동 #대저생태공원 #칠곡맛집#구로맛집 #육아맘그램 #카페발로 #가족여행 #성수역맛집 #육아맘부업",https://www.instagram.com/p/Br6wscOBwKC/
2018-12-27,".
☕넘 조아하는 #카페젠
.
1층부터 3층 옥상까지 있어서
규모도 크고
이색적이고 맛있어요
.
토스트.와플이랑 음료 먹었는데
넘나 촉촉하고 부드러워 ~~
.
☕카페도 이쁘고 아늑~
데이트 하기 좋았다죵 ㅅ.ㅅ
.
.
.
.
#명지데이트코스#부산카페#대저카페#명지카페#부산카페추천#카페스타그램#카페데이트
#메리크리스마스#부산카페투어#카페투어#부산데이트#부산데이트코스#명지#부산스터디카페 #대저생태공원 #김해공항 #김해공항근처 #부산",https://www.instagram.com/p/Br6PY3Ggrll/
2018-12-27,"#부산 #부산카페 #대저카페 #명지카페
#명지 #부산카페추천 #카페스타그램 #카페데이트 #메리크리스마스
#부산카페투어 #카페투어 #부산데이트 #부산데이트코스 #명지데이트코스 #부산스터디카페 #대저생태공원
#김해공항 #김해공항근처

#카페젠 여기넘이뿌죵 ♥
1층부터 3층 옥상까지 있는 카페입니당😃
주차장이 있어서 좋아요!! 시간제한없이 #무료주차 !! 김해공항이랑 가까워서 뱅기시간전에 여기 머무르고 있다가 가도 좋아요
스터디카페로도 괜찮을것같고
혼자서 카페가서 책읽거나 노트북들고 가서 일하거나 하기에도 좋을것같아용
연인 데이트하기에도 분위기 너무 좋은듯 😍

아메리카노 가격도 착하고, 여기 주문한 음료랑 빵도 마싯고 또와야지💕",https://www.instagram.com/p/Br5Swyjhft0/
2018-12-27,"#카페투어 너무 좋아 ~😊
#대저생태공원 이랑 #김해공항근처 에있는 #카페
특히 큰카페가 눈치안보여서 좋던데
#카페젠 은 3층에 #루프탑 까지 있음
무제한 무료 주차장도 넓어서 좋아

분위기 좋고 예뻐서 #카페데이트 하기도 좋고 넓어서 학생들 #스터디카페 로 이용하기도 좋을듯 ㅎ

#딸기라떼 #음료랑 #와플 이랑 #빵 도 맛있으니 기분도 좋고 ~
#부산#부산카페#대저카페#명지카페#명지#부산카페추천#카페스타그램#메리크리스마스#부산카페투어#부산데이트#부산데이트코스#명지데이트코스
#부산스터디카페 #김해공항 #명지와플
#먹스타그램",https://www.instagram.com/p/Br5MiWUgNgf/
2018-12-27,"3층까지 있는 대형규모의 카페 주차장도 있고 공항도 가까워 여행가기전 여유시간에 들리기 좋다#카페젠#부산#부산카페#대저카페#명지카페#명지
#부산카페추천#카페스타그램#카페데이트
#메리크리스마스#부산카페투어#카페투어#부산데이트#부산데이트코스#명지데이트코스
#부산스터디카페 #대저생태공원 #김해공항 #김해공항근처",https://www.instagram.com/p/Br5K68RnCtP/
2018-12-27,"역시 겨울엔 딸기 음료 🍓🍓빵도 맛있고 분위기도 최고 !

#카페젠#부산#부산카페#대저카페#명지카페#명지
#부산카페추천#카페스타그램#카페데이트
#메리크리스마스#부산카페투어#카페투어#부산데이트#부산데이트코스#명지데이트코스
#부산스터디카페 #대저생태공원 #김해공항 #김해공항근처",https://www.instagram.com/p/Br5IlFVgA0N/
2018-12-27,"많이 추운 퇴근길이예요.
오늘도 추운데, 찾아 주셔서 감사합니다.

내일은 정말 정말 추울듯합니다.
꽁꽁 싸매고 외출하시길 바래요.

내일 뵙겠습니다.

#부산카페#부산맛집#부산데이트#덕천카페#숙등카페#주택개조카페#작은카페#조용한카페#빈티지카페#북구빙상센터#화명생태공원#대저생태공원#크림맛집#JMT#맛있다리#카페일기#카페스타그램#한파주의보#건강조심#퇴근피드#감사합니다",https://www.instagram.com/p/Br5HbuQnIZf/
2018-12-27,"#부산카페추천
1층부터 3층 루프탑까지 있는
#부산예쁜카페 #카페젠 ☕

#김해공항근처
주차장도 널찍하고
제한없이 무료주차되서
#편한카페 🤗

분위기도 한적하고 차분해서
#혼커 하기도 좋고
#부산스터디카페
#부산데이트코스 로도 추천 💕

커피도 맛있고
상콤달콤 #크림퐁딸기
#강동치즈카야토스트
쫜득하니 내스타일 😋

@cafezen_busan
#부산#부산카페#대저카페#명지카페#명지#카페스타그램#카페데이트#메리크리스마스#부산카페투어#카페투어#부산데이트#명지데이트코스#대저생태공원 #김해공항",https://www.instagram.com/p/Br5GGQ6gEJx/
2018-12-27,".
기분좋음을 혓바닥으로 표현하는 내새꾸❤️
.
.
.
.
#사모예드 #사모예드솜이 #사모예드그램 #애견스타그램 #펫스타그램 #독스타그램 #견스타그램 #멍스타그램 #개스타그램 #dogstagram #samoyed #멍뭉이 #솜뭉치 #반려견 #대형견 #일상 #데일리 #소통 #셀카 #천사견 #개딸램 #이쁜내새낑 #사랑스러워 #대저생태공원 #야외산책 #기분좋아",https://www.instagram.com/p/Br5FUoanRhY/
2018-12-27,"오랜만에 신랑이랑 카페데이트 하고왔어요~
3층건물에 인테리어도 예쁘고 음료도 디저트도 맛있는곳!
주차장도 잘 되어있고 노키즈존일줄 알았는데 웰컴키즈존이였음! 다음엔 아들도 같이 가야지~~~! #카페젠#부산#부산카페#대저카페#명지카페#명지
#부산카페추천#카페스타그램#카페데이트
#메리크리스마스#부산카페투어#카페투어#부산데이트#부산데이트코스#명지데이트코스
#부산스터디카페 #대저생태공원 #김해공항 #김해공항근처#부부스타그램#데이트#데이트코스3",https://www.instagram.com/p/Br5Dm-4F4ii/
2018-12-27,"추워도 포기할수없는 이쁜옥상🤩 사진만찍고 들어오기 잼ㅋㅋ주차장도 넓고 매장도3층까지 널널해서 존좋❣️ 또 생각나눈 카야토스뜨😭 간만에 데이트 느낌나고 좋았다^^^^^^*
.
.
.
.
.
#카페젠#부산#부산카페#대저카페#명지카페#명지
#부산카페추천#카페스타그램#카페데이트
#메리크리스마스#부산카페투어#카페투어#부산데이트#부산데이트코스#명지데이트코스
#부산스터디카페 #대저생태공원 #김해공항 #김해공항근처#데일리#카페감성#갬성#갬성스타그램#갬성사진#카야토스트#딸기라떼#카페스타그램#데이트#럽스타그램",https://www.instagram.com/p/Br40-3ogk8a/
2018-12-27,"젠틀맨 테마를 이용해주신 고객님들이십니당ㅎㅎ ㅎㅎ
다음번엔 조금 더 어려운 테마이용해주세용
ㆍ
ㆍ
ㆍ
✔가맹점,체인점 점주모집:📞T)010-9919-9888부산본점

ㆍ
ㆍ
ㆍ
#국립부산과학관 #부산박물관 #삼락생태공원 #비프광장 #더베이101요트클럽 #황령산봉수대 #힐스파 #보수동책방골목 #오랑대공원 #허브랑야생화 #대변항 #대저생태공원",https://www.instagram.com/p/Br4vf_TAUlw/
2018-12-27,"나온지 한달도 안된
극초기 부업!! <마켓붐>
.
초기부업은 타이밍이 제일 중요한거 다 아시죠??
.
포화상태인 부업시장속에서
언제까지 계속 맴돌고만 있을건가요!!
.
이젠, 제대로 시작해보셔야죠!!
.
*글쓰게 하루1개 최대2만원
*한달 최대40만원 고정수익!
*초기비용 100% 회수가능
*첫날부터 수익
*리셀러모집까지하면 고수익가능
*극초기부업!!
.
첫날부터 수익나는 한달최대40만원
고정수익!!!!!
초기비용 100% 회수가능한 꿀부업!
이제 고민말고 시작해요!!
.
마켓붐 1등양심멘토 차차
마케팅경력15년 제대로 멘토링해드려요
.
카톡아이디 chacha1230
.
#마켓붐 #마켓붐차차

#자취요리#19개월아들 #대저생태공원 #덕소맛집 #펜션여행 #홍대맛집추천 #경주카페 #칠곡맛집#인테리어소품 #오사카자유여행 #16개월아기",https://www.instagram.com/p/Br4lSxMhagZ/
2018-12-27,#캠핑 #크리스마스 #대저생태공원 #혹한기 #뒷북 #힐링,https://www.instagram.com/p/Br4huWJl9xh/
2018-12-27,"항상 무슨 일이든
마음가짐이 중요한거같아요!
.
안된다 안된다 생각하면
무슨일이든 안되고
된다 된다 생각하면
아무리 어려운 일도 다 잘 풀리는것같아요
.
얼마남지 않은 2018년에
이렇게 큰 선물을 받고^^
2019년 기분좋게 맞이하려합니다
.
저, 양심멘토! 인생멘토!
부모님이 지어준 이름걸고
약속은 꼭 지킵니다!!
.
얼굴 노출없이
팔로워없이
내 새끼 얼굴공개없이
하실 수 있어요.
.
늦었다고 생각할때가
너무 늦은때,
지금 바로 시작하세요!
.
마케팅경력15년
부업3년차
.
언제든지 카톡주세요
.
카톡아이디 chacha1230
.
#마켓붐 #마켓붐차차

#홍대앞 #민감피부 #대저생태공원 #캔들워머#광주카페 #부업추천 #마이셀즈 #경성대헤어라인 #송추맛집 #19개월아들 #디즈니랜드 #선술집 #석촌호수맛집",https://www.instagram.com/p/Br4armRBAy-/
2018-12-27,"2018.12.27 목요일 맑음

기온이 많이 떨어져서 바람도 무지 차네요.

남은 2018년도는 계속 추울것 같아요.
따뜻하게 입고 따뜻한 음료 챙겨드세요.

오늘의 디저트 라인업(16시 수정)
#크랜베리호두스코온-sold out
#꾸덕브라우니
#푸딩딩(커스터드푸딩)-sold out
#바나나크림파이
#딸기가득토스트(오픈토스트)
#새우토마토바질토스트
준비되어 있어요

12월 영업시간 및 휴무
매일 13시~21시(L.O : 20시)
매주 화요일은 정기휴무
25일 크리스마스 정상영업(26일 대체휴무)",https://www.instagram.com/p/Br4MmFIni93/
2018-12-27,"항상 무슨 일이든
마음가짐이 중요한거같아요!
.
안된다 안된다 생각하면
무슨일이든 안되고
된다 된다 생각하면
아무리 어려운 일도 다 잘 풀리는것같아요
.
얼마남지 않은 2018년에
이렇게 큰 선물을 받고^^
2019년 기분좋게 맞이하려합니다
.
저, 양심멘토! 인생멘토!
부모님이 지어준 이름걸고
약속은 꼭 지킵니다!!
.
얼굴 노출없이
팔로워없이
내 새끼 얼굴공개없이
하실 수 있어요.
.
늦었다고 생각할때가
너무 늦은때,
지금 바로 시작하세요!
.
마케팅경력15년
부업3년차
.
언제든지 카톡주세요
.
카톡아이디 chacha1230
.
#마켓붐 #마켓붐차차

#3교대 #대구 #만삭사진 #코엑스 #33개월아들 #대학로맛집 #대저생태공원 #샤넬가방 #양띠아가 #부평맛집",https://www.instagram.com/p/Br4J5Q1Bqya/
2018-12-26,"oNLY 인스타 하나로!
새로만든 계정으로 진행 가능 :)
아예 모르는 신규분도 가능합니다.
저도 해낸거보세용..ㅎㅎ
-
-
진심을 아는 진심멘토★
인스타그램 최초 알고리즘을 이용한
확실한 방법으로 교육 진행합니다.
-
인스타는 이제 시작인 플랫폼입니다.
어떤방법으로 어떤식으로 자리매김을
하느냐가 중요한 문제!
-
-
자세한 후기 및 인증은
@juju_88722 구경와주세요!
-
🍓3교대하면서 주급100만원 달성 후배님v
🍓11일만에 43O만원 돌파 취준생 후배님v
🍓시작 15일만에 4OO만 벌어가신후배님v
🍓문팸방법으로 변경 후 실적 갱신중인 후배님v

월 200-300 이상 및 부수입,
월 1OOO만원 욕심있으신분 !!
다양한후기는 피드에있어요~
문의는 카톡주세요 ★ mzzg
or
🔻🔻🔻🔻🔻🔻🔻🔻
프로필링크 하단 오픈채팅
dm은한도초과라 못봐요ㅜㅜ
.
.
삶의 목적은 자기계발이다. 자신의 본성을 완벽하게 실현하는 것, 바로 그 목적을 위해 우리 모두가 지금 여기 존재한다
.

#직장인투잡 #23개월아기 #대저생태공원 #홍대맛집 #서울카페 #육아는장비빨 #딸램 #갤럭시 #맛스타그램 #봉평동카페 #25개월아들 #27개월딸 #가로수길맛집 #돌끝맘 #루이비통가방",https://www.instagram.com/p/Br3GK0ABuqH/
2018-12-26,"오직 인스타 하나로!
신규계정으로 진행 가능 :)
전혀 모르는 신규분도 가능해용.
저도 해냈잖아요..ㅎㅎ
-
-
진심을 아는 진심멘토☆
인스타뷰업 최초 알고리즘을 이용한
확실한 방법으로 교육 진행해용.
-
인스타는 이제 시작인 플랫폼입니다.
어떤방법으로 어떻게 자리매김을
하느냐가 관건인 문제!
-
-
자세한 후기 및 인증은
@juju_88722 구경와주세요!
-
🍓10일만에 초기비용회수한 후배님v
🍓시작2일만에 바로 문의폭발중인 후배님
🍓23대학생 예쁘니 주급 23O만 후배님v
🍓22살 남자후배님도 알아서 척척v

월 200-300 이상 및 부수입,
월 1OOO만원 욕심있으신분 !!
다른후기는 피드에있어요~
문의는 카톡주세요 ☆ mzzg
or
🔻🔻🔻🔻🔻🔻🔻🔻🔻
프로필링크 하단 오픈채팅
dm은1일초과라 놓쳐용ㅠㅠ
.
.
삶에는 고통스러운 시기가 많으므로 제대로 그 시기를 견뎌내는 법을 더 잘 배워야 한다는 것을 알았다
.

#아지트샵 #취준생 #대저생태공원 #남편생일상 #북카페 #허브아일랜드 #교대 #10개월아기 #강촌맛집 #런던여행 #기장맛집 #강남눈썹문신 #오사카성 #청양띠아기 #감성아동복",https://www.instagram.com/p/Br20zaHBFUL/
